x,y,z,,x,y,z,,x,y,z
-36.02425295,15.22298271,0,,-38.89189088,4.192524177,0,,-2.86763793,-11.03045853,0
-36.21936772,15.17254991,0,,-37.68924247,3.906041227,0,,-1.46987475,-11.26650868,0
-36.4041426,15.13911481,0,,-36.44487049,3.602873978,0,,-0.04072789,-11.53624083,0
-36.57508803,15.15172173,0,,-35.16207989,3.274454919,0,,1.41300814,-11.87726681,0
-36.75045506,15.18571992,0,,-33.85692043,2.935876533,0,,2.89353463,-12.24984339,0
-36.93591241,15.22020064,0,,-32.53576032,2.601915326,0,,4.40015209,-12.61828531,0
-37.11690088,15.26597813,0,,-31.19562783,2.283866332,0,,5.92127305,-12.9821118,0
-37.28419337,15.30980648,0,,-29.83791853,1.981728421,0,,7.44627484,-13.32807806,0
-37.43263688,15.34766982,0,,-28.46757025,1.691006677,0,,8.96506663,-13.65666314,0
-37.56154825,15.38991228,0,,-27.09151121,1.408422245,0,,10.47003704,-13.98149004,0
-37.67426227,15.43624103,0,,-25.71127685,1.116526926,0,,11.96298542,-14.3197141,0
-37.77103506,15.50235739,0,,-24.31475283,0.797105249,0,,13.45628223,-14.70525214,0
-37.83896921,15.56903599,0,,-22.89199403,0.47357616,0,,14.94697518,-15.09545983,0
-37.87082707,15.6537458,0,,-21.44560909,0.145130535,0,,16.42521798,-15.50861527,0
-37.87229639,15.75124703,0,,-19.99016192,-0.172540518,0,,17.88213447,-15.92378755,0
-37.85690007,15.870126,0,,-18.53559304,-0.492704394,0,,19.32130703,-16.36283039,0
-37.82642893,16.01683407,0,,-17.08190789,-0.821212157,0,,20.74452104,-16.83804623,0
-37.78437152,16.18523565,0,,-15.63592906,-1.15789503,0,,22.14844246,-17.34313068,0
-37.72420043,16.38579263,0,,-14.19867111,-1.498126243,0,,23.52552932,-17.88391887,0
-37.64171483,16.61682558,0,,-12.77628441,-1.846303953,0,,24.86543042,-18.46312953,0
-37.52879798,16.91309072,0,,-11.38301082,-2.202672929,0,,26.14578716,-19.11576365,0
-37.41268507,17.2264098,0,,-10.00732082,-2.542656294,0,,27.40536425,-19.76906609,0
-37.33729427,17.39266362,0,,-8.652471968,-2.800636468,0,,28.6848223,-20.19330009,0
-37.31544935,17.36818821,0,,-7.329784086,-2.980566956,0,,29.98566526,-20.34875517,0
-37.33461762,17.32158595,0,,-6.041636921,-3.165481544,0,,31.2929807,-20.48706749,0
-37.35180966,17.33680039,0,,-4.76987676,-3.381703206,0,,32.5819329,-20.7185036,0
-37.34872327,17.38858017,0,,-3.511247667,-3.583846512,0,,33.8374756,-20.97242668,0
-37.34400394,17.43202729,0,,-2.265695931,-3.773756155,0,,35.07830801,-21.20578345,0
-37.34673634,17.50056332,0,,-1.061347727,-3.966178516,0,,36.28538861,-21.46674184,0
-37.34877316,17.55060514,0,,0.086738166,-4.150537801,0,,37.43551133,-21.70114294,0
-37.34342258,17.58343646,0,,1.186625681,-4.334652979,0,,38.53004826,-21.91808944,0
-37.32615437,17.61140614,0,,2.267668956,-4.515820602,0,,39.59382333,-22.12722674,0
-37.29420498,17.6524123,0,,3.350055465,-4.691620661,0,,40.64426045,-22.34403296,0
-37.25765501,17.73982011,0,,4.437769206,-4.89042274,0,,41.69542422,-22.63024285,0
-37.22011817,17.8708624,0,,5.522745848,-5.109186395,0,,42.74286402,-22.9800488,0
-37.1895251,17.9792446,0,,6.608188873,-5.33266519,0,,43.79771397,-23.31190979,0
-37.16751216,18.05039843,0,,7.673505674,-5.564377996,0,,44.84101783,-23.61477643,0
-37.14697586,18.10233649,0,,8.7092566,-5.801922884,0,,45.85623246,-23.90425937,0
-37.12736645,18.13678286,0,,9.71159884,-6.042206735,0,,46.83896529,-24.1789896,0
-37.13442658,18.16130342,0,,10.66915528,-6.281911742,0,,47.80358186,-24.44321516,0
-37.14491565,18.22021765,0,,11.58081345,-6.532314978,0,,48.7257291,-24.75253263,0
-37.17307723,18.29026219,0,,12.4558705,-6.782051394,0,,49.62894773,-25.07231358,0
-37.20511395,18.36475908,0,,13.29974179,-7.035697996,0,,50.50485574,-25.40045708,0
-37.2250354,18.46796915,0,,14.12310932,-7.295125645,0,,51.34814472,-25.7630948,0
-37.2387274,18.54578327,0,,14.92418848,-7.543108868,0,,52.16291588,-26.08889214,0
-37.24612531,18.58310797,0,,15.69299453,-7.77063443,0,,52.93911984,-26.3537424,0
